Data;2860 - Investimento estrangeiro direto - IED (líquido) - mensal - US$ (milhões)
01/1995;429,2
02/1995;131,1
03/1995;-22,1
04/1995;167,9
05/1995;484,7
06/1995;359,0
07/1995;400,3
08/1995;425,7
09/1995;632,4
10/1995;307,5
11/1995;369,4
12/1995;720,0
01/1996;683,2
02/1996;347,2
03/1996;594,2
04/1996;600,3
05/1996;1.774,8
06/1996;1.356,3
07/1996;634,6
08/1996;461,1
09/1996;376,3
10/1996;891,5
11/1996;1.051,8
12/1996;2.020,4
01/1997;1.012,5
02/1997;348,3
03/1997;1.658,4
04/1997;1.742,7
05/1997;1.886,6
06/1997;1.139,3
07/1997;1.645,3
08/1997;1.634,7
09/1997;1.556,9
10/1997;3.202,2
11/1997;1.240,8
12/1997;1.925,3
01/1998;951,0
02/1998;1.294,8
03/1998;1.713,1
04/1998;2.050,0
05/1998;1.405,4
06/1998;2.839,7
07/1998;2.930,0
08/1998;4.541,9
09/1998;2.518,0
10/1998;3.615,9
11/1998;2.222,9
12/1998;2.773,0
01/1999;1.302,9
02/1999;4.621,6
03/1999;1.698,0
04/1999;2.330,6
05/1999;1.310,0
06/1999;2.027,4
07/1999;3.761,9
08/1999;2.703,4
09/1999;2.514,7
10/1999;2.152,9
11/1999;1.802,1
12/1999;2.352,9
01/2000;3.029,0
02/2000;1.688,7
03/2000;2.247,5
04/2000;1.369,0
05/2000;1.666,3
06/2000;3.404,9
07/2000;5.153,0
08/2000;2.488,5
09/2000;1.584,1
10/2000;2.121,4
11/2000;5.721,7
12/2000;2.305,1
01/2001;1.657,2
02/2001;994,7
03/2001;2.085,7
04/2001;2.029,0
05/2001;2.040,3
06/2001;1.093,5
07/2001;2.489,9
08/2001;1.403,2
09/2001;1.487,9
10/2001;1.335,1
11/2001;2.181,9
12/2001;3.659,0
01/2002;1.475,4
02/2002;856,3
03/2002;2.386,9
04/2002;1.964,2
05/2002;1.427,9
06/2002;1.530,2
07/2002;930,4
08/2002;881,8
09/2002;1.236,3
10/2002;1.244,2
11/2002;1.154,1
12/2002;1.502,5
01/2003;904,9
02/2003;788,5
03/2003;283,7
04/2003;796,4
05/2003;541,3
06/2003;185,6
07/2003;1.247,0
08/2003;979,9
09/2003;739,4
10/2003;314,2
11/2003;1.953,7
12/2003;1.409,0
01/2004;1.019,7
02/2004;1.015,8
03/2004;698,7
04/2004;377,8
05/2004;206,1
06/2004;725,1
07/2004;1.585,7
08/2004;6.089,4
09/2004;646,0
10/2004;1.312,6
11/2004;1.319,2
12/2004;3.149,8
01/2005;1.203,3
02/2005;844,5
03/2005;1.394,9
04/2005;3.037,2
05/2005;708,6
06/2005;1.325,4
07/2005;2.029,4
08/2005;1.090,0
09/2005;31,2
10/2005;823,5
11/2005;1.172,1
12/2005;1.406,3
01/2006;1.474,4
02/2006;854,1
03/2006;1.657,8
04/2006;785,2
05/2006;1.577,1
06/2006;1.032,5
07/2006;1.586,0
08/2006;1.256,4
09/2006;1.752,1
10/2006;1.721,9
11/2006;2.667,5
12/2006;2.457,3
01/2007;2.422,0
02/2007;1.377,5
03/2007;2.766,0
04/2007;3.471,2
05/2007;497,1
06/2007;10.318,4
07/2007;3.613,4
08/2007;1.979,2
09/2007;1.536,9
10/2007;3.187,6
11/2007;2.529,7
12/2007;885,9
01/2008;4.826,1
02/2008;890,0
03/2008;3.083,2
04/2008;3.872,0
05/2008;1.312,8
06/2008;2.725,8
07/2008;3.266,3
08/2008;4.637,8
09/2008;6.241,4
10/2008;3.913,2
11/2008;2.174,5
12/2008;8.115,2
01/2009;1.930,0
02/2009;1.968,3
03/2009;1.444,0
04/2009;3.409,1
05/2009;2.482,7
06/2009;1.431,3
07/2009;1.287,2
08/2009;1.903,2
09/2009;1.816,2
10/2009;1.563,0
11/2009;1.604,4
12/2009;5.109,1
01/2010;585,2
02/2010;2.843,4
03/2010;2.083,2
04/2010;2.228,4
05/2010;3.589,8
06/2010;766,0
07/2010;2.634,7
08/2010;2.422,0
09/2010;5.424,2
10/2010;6.814,9
11/2010;3.740,3
12/2010;15.374,3
01/2011;2.953,2
02/2011;7.794,9
03/2011;6.786,8
04/2011;5.519,6
05/2011;3.972,7
06/2011;5.474,9
07/2011;5.982,3
08/2011;5.595,9
09/2011;6.305,4
10/2011;5.574,4
11/2011;4.056,5
12/2011;6.643,6
01/2012;5.405,5
02/2012;3.645,9
03/2012;5.897,2
04/2012;5.243,0
05/2012;3.715,8
06/2012;5.822,1
07/2012;8.439,9
08/2012;5.034,8
09/2012;4.393,1
10/2012;7.730,1
11/2012;4.586,6
12/2012;5.357,9
01/2013;3.703,4
02/2013;3.789,9
03/2013;5.739,0
04/2013;5.718,7
05/2013;3.867,9
06/2013;7.170,5
07/2013;5.212,4
08/2013;3.774,8
09/2013;4.770,3
10/2013;5.439,4
11/2013;8.333,9
12/2013;6.475,7
01/2014;5.114,6
02/2014;4.052,7
03/2014;4.976,9
04/2014;5.232,5
05/2014;5.962,9
06/2014;3.924,0
07/2014;5.898,2
08/2014;6.839,6
09/2014;4.213,5
10/2014;4.985,4
11/2014;4.644,5
12/2014;6.649,9
01/2015;3.968,3
02/2015;2.768,9
Fonte;BCB-DSTAT
